"jour","route_id","customer_id","client","heure_debut","heure_fin","note"
"Dimanche","55610","302874","REPAS WECOOK (MEALKIT)","00:00:00","17:00:00",
"Lundi","50008","302041","BOUCLAIR",,"12:00:00",""
"Lundi","50007","301320","BRAULT & BOUTHILLIER (BEAUMONT)",,"14:00:00","7h00-15h30"
"Lundi","50012","112005","BUROPRO CITATION DRUMMONVILLE",,"10:15:00",
"Lundi","50019","114309","DANESCO INC",,"14:30:00","Fermeture 16h00"
"Lundi","55610","303548","DESIGNME HAIR ",,"14:30:00","Fermeture 15h30"
"Lundi","55609","118950","DIFFUSION DIMEDIA INC.",,"17:00:00",
"Lundi","50012","163860","DISTRIBUTION SIGNATURE INC",,"15:00:00",""
"Lundi","50019","303546","FASTCO CANADA",,"15:30:00",""
"Lundi","50024","303322","J.E. MONDOU MASCOUCHE",,"20:00:00",""
"Lundi","50130","136850","J.L. INC.",,"14:00:00",""
"Lundi","50011","111444","LES EDITIONS C.E.C INC (NAT_FLEX )",,"15:30:00",""
"Lundi","50002","164445","LES OLIVERAIES STAVROPOULOS",,"15:30:00",""
"Lundi","55610","302606","LEVITON",,"15:00:00","15:00"
"Lundi","50010","144885","LUDIK DISTRIBUTION",,"14:45:00","Fermeture 16h00"
"Lundi","50004","113300","NATIONEX",,"20:00:00",
"Lundi","50012","300620","NATIONEX DRUMMONDVILLE",,"10:45:00",
"Lundi","50024","156200","PROLOGUE DISTRIBUTION",,"17:00:00",
"Lundi","50002","165506","SPICERS CANADA ULC",,"18:45:00"," nouveau cadre syndical de 3-11pm.  Important de maintenir cueillette à 18h45. L’entrepôt ouvert jus"
"Lundi","50027","112140","TC MEDIA LIVRE INC (COLLECT)",,"14:30:00",""
"Lundi","53007","303299","TRUDEAU CORPORATION INTERNATIONAL INC",,"13:00:00",""
"Lundi","50007","303513","YUPIK",,"15:00:00","Ferme 17h"
"Lundi","50011","124435","124435","00:00:00","14:30:00",
"Lundi","50010","137814","137814","00:00:00","22:30:00",""
"Lundi","50000","105880","155030 CANADA INC ( JEUX DE FAMILLE )","00:00:00","13:00:00",
"Lundi","50010","165495","165495","00:00:00","19:00:00",
"Lundi","50024","303495","A1 IMPORTS","00:00:00","13:30:00","Fermeture 15h30"
"Lundi","50010","101439","ACTION O&P INC","00:00:00","16:30:00",
"Lundi","50005","301311","AGENCE 2L","00:00:00","13:45:00",
"Lundi","50016","302448","ALTITUDE SPORTS","00:00:00","17:15:00",
"Lundi","50013","102674","ATLAS TRAILER COACH PRODUCTS","00:00:00","16:30:00",
"Lundi","50011","303629","AUTO COUNTRY MONTRÉAL","00:00:00","15:00:00","9h00-17h00"
"Lundi","50011","102790","AUTRUCHE","00:00:00","13:00:00","Ferme 14h30"
"Lundi","50017","302586","B&B C/O EKKINOX","00:00:00","14:00:00",
"Lundi","50013","301166","BBQ QUÉBEC LONGUEUIL (B2C)","00:00:00","13:30:00",
"Lundi","50017","103390","BEAUTE STAR INC ( MTL )","00:00:00","17:00:00",
"Lundi","50001","302001","BENTLEY (WIPTEC)","00:00:00","18:30:00",
"Lundi","50001","105491","BLC INT'L INC ( LE GROUPE )","00:00:00","16:45:00",
"Lundi","50125","301114","BLINDS TO GO","00:00:00","00:00:00",
"Lundi","50019","302041","BOUCLAIR","00:00:00","16:00:00",""
"Lundi","50019","303280","BOUCLAIR 24 HEURES","00:00:00","16:00:00",""
"Lundi","50016","107821","BROWNING CANADA SPORTS LTEE","00:00:00","15:30:00",""
"Lundi","50016","107820","BROWNING CANADA SPORTS LTEE ( AAF )","00:00:00","15:30:00",
"Lundi","50013","167812","CADRES VERBEC INC","00:00:00","15:20:00",
"Lundi","50014","103109","CAFE BARISTA INC","00:00:00","14:50:00",
"Lundi","50129","303197","CAFE LIEGEOIS","00:00:00","10:00:00",""
"Lundi","50019","302525","CAMBIUM DISTRIBUTION","00:00:00","16:45:00",
"Lundi","50002","110997","CARDINAL COURRIERS LTEE","00:00:00","18:15:00",
"Lundi","50001","303067","CATSPORTS","00:00:00","15:45:00",
"Lundi","50004","112060","CHALUT DIV BEAUTY SYSTEMS GROUP INC","00:00:00","21:00:00",
"Lundi","50010","301984","CHANTAL LACROIX B2C","00:00:00","13:30:00",""
"Lundi","50016","112122","CHAUSSURES M&M FOOTWEAR","00:00:00","15:00:00",
"Lundi","55609","303306","COLIBRI","00:00:00","17:30:00",""
"Lundi","50004","113333","COMMONWEALTH PLYWOOD (BOUCH)","00:00:00","19:30:00",
"Lundi","50001","301229","COMPASS GROUP CANADA/MA CAFÉINE","00:00:00","13:00:00",
"Lundi","50012","300482","CONFORT EXCELFLEX (BLEU ECO)","00:00:00","14:00:00",
