"pickup_date","jour","route_ids","customer_id","client","scheduled_starts","scheduled_ends","parcels_created","shipments_created","shipping_orders_created"
"8/3/2026 12:00:00 AM","Lundi","50010","137814","137814","00:00","22:30","39","10","10"
"8/3/2026 12:00:00 AM","Lundi","50024","303495","A1 IMPORTS","00:00","13:30","68","50","50"
"8/3/2026 12:00:00 AM","Lundi","50010","101439","ACTION O&P INC","00:00","16:30","18","12","12"
"8/3/2026 12:00:00 AM","Lundi","50005","301311","AGENCE 2L","00:00","13:45","36","20","20"
"8/3/2026 12:00:00 AM","Lundi","50011","303629","AUTO COUNTRY MONTRÉAL","00:00","15:00","0","0","0"
"8/3/2026 12:00:00 AM","Lundi","50011","102790","AUTRUCHE","00:00","13:00","0","0","0"
"8/3/2026 12:00:00 AM","Lundi","50017","302586","B&B C/O EKKINOX","00:00","14:00","16","9","9"
"8/3/2026 12:00:00 AM","Lundi","50013","301166","BBQ QUÉBEC LONGUEUIL (B2C)","00:00","13:30","13","13","13"
"8/3/2026 12:00:00 AM","Lundi","50001","105491","BLC INT'L INC ( LE GROUPE )","00:00","16:45","34","12","12"
"8/3/2026 12:00:00 AM","Lundi","50019","303280","BOUCLAIR 24 HEURES","00:00","16:00","31","11","11"
"8/3/2026 12:00:00 AM","Lundi","50016","107821","BROWNING CANADA SPORTS LTEE","00:00","15:30","0","0","0"
"8/3/2026 12:00:00 AM","Lundi","50016","107820","BROWNING CANADA SPORTS LTEE ( AAF )","00:00","15:30","0","0","0"
"8/3/2026 12:00:00 AM","Lundi","50013","167812","CADRES VERBEC INC","00:00","15:20","42","35","35"
"8/3/2026 12:00:00 AM","Lundi","50019","302525","CAMBIUM DISTRIBUTION","00:00","16:45","72","8","8"
"8/3/2026 12:00:00 AM","Lundi","50002","110997","CARDINAL COURRIERS LTEE","00:00","18:15","10","9","9"
"8/3/2026 12:00:00 AM","Lundi","50001","303067","CATSPORTS","00:00","15:45","33","10","10"
"8/3/2026 12:00:00 AM","Lundi","50010","301984","CHANTAL LACROIX B2C","00:00","13:30","27","26","26"
"8/3/2026 12:00:00 AM","Lundi","50016","112122","CHAUSSURES M&M FOOTWEAR","00:00","15:00","0","0","0"
"8/3/2026 12:00:00 AM","Lundi","50004","113333","COMMONWEALTH PLYWOOD (BOUCH)","00:00","19:30","24","21","21"
"8/3/2026 12:00:00 AM","Lundi","50001","301229","COMPASS GROUP CANADA/MA CAFÉINE","00:00","13:00","22","22","22"
"8/3/2026 12:00:00 AM","Lundi","50012","300482","CONFORT EXCELFLEX (BLEU ECO)","00:00","14:00","83","42","42"
"8/3/2026 12:00:00 AM","Lundi","50029","125007","DATA COMMUNICATION","00:00","18:15","14","8","8"
"8/3/2026 12:00:00 AM","Lundi","50014","303598","DIFFUSION DIMEDIA INC. - SNR","00:00","17:00","0","0","0"
