"customer_id","client","route_ids","pickup_days","total_parcels_created","average_parcels_per_pickup_day","max_parcels_in_one_day","total_shipments_created","dates"
"137814","137814","50010","4","116","29","39","29","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06"
"303495","A1 IMPORTS","50024","5","277","55.4","75","183","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"101439","ACTION O&P INC","50010","5","78","15.6","24","43","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"301311","AGENCE 2L","50005","5","129","25.8","39","68","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"105856","AQRCB","50000","1","6","6","6","6","2026-08-04"
"303629","AUTO COUNTRY MONTRÉAL","50011","5","56","11.2","29","16","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"102790","AUTRUCHE","50011","4","145","36.25","70","27","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06"
"302586","B&B C/O EKKINOX","50017","5","239","47.8","90","128","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"151185","BAYARD PRESSE CANADA INC ( ADELF )","50014 / 50027","5","83","16.6","37","43","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"301166","BBQ QUÉBEC LONGUEUIL (B2C)","50013","5","57","11.4","17","53","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"103390","BEAUTE STAR INC ( MTL )","50009 / 50017","2","164","82","89","58","2026-08-05 / 2026-08-07"
"105491","BLC INT'L INC ( LE GROUPE )","50001","5","82","16.4","34","41","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"303280","BOUCLAIR 24 HEURES","50019","5","79","15.8","31","42","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"107821","BROWNING CANADA SPORTS LTEE","50016","5","0","0","0","0","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"107820","BROWNING CANADA SPORTS LTEE ( AAF )","50016","5","6","1.2","4","6","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"112005","BUROPRO CITATION DRUMMONVILLE","50012","4","259","64.75","79","147","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06"
"112008","BUROPRO CITATION ST HYACINTHE","50012","2","0","0","0","0","2026-08-04 / 2026-08-06"
"167812","CADRES VERBEC INC","50013","5","241","48.2","78","190","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"103109","CAFE BARISTA INC","50014","3","200","66.67","84","60","2026-08-05 / 2026-08-06 / 2026-08-07"
"302525","CAMBIUM DISTRIBUTION","50019","5","191","38.2","72","33","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"101680","CAMEMAT INC.","50012","2","7","3.5","6","4","2026-08-04 / 2026-08-06"
"109008","CANARM","50009","5","294","58.8","83","76","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"109105","CANAROPA (1954) INC.","50018","5","98","19.6","33","49","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"110997","CARDINAL COURRIERS LTEE","50002","5","66","13.2","23","53","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"303067","CATSPORTS","50001","5","255","51","86","150","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"301984","CHANTAL LACROIX B2C","50010","5","124","24.8","45","122","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"112122","CHAUSSURES M&M FOOTWEAR","50016","5","52","10.4","36","8","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"113333","COMMONWEALTH PLYWOOD (BOUCH)","50002 / 50004","5","92","18.4","34","80","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"301229","COMPASS GROUP CANADA/MA CAFÉINE","50001","5","62","12.4","22","55","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"300482","CONFORT EXCELFLEX (BLEU ECO)","50012","5","156","31.2","83","94","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"105210","D'AMOUR BICYCLE","50018","4","269","67.25","97","139","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-07"
"114309","DANESCO INC","50019","5","113","22.6","59","19","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"125007","DATA COMMUNICATION","50029","5","86","17.2","33","43","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"118950","DIFFUSION DIMEDIA INC.","50014","3","272","90.67","97","195","2026-08-04 / 2026-08-06 / 2026-08-07"
"303598","DIFFUSION DIMEDIA INC. - SNR","50014","5","0","0","0","0","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"131120","DISTRIBUTION HMH INC ","50014 / 50027","4","204","51","63","152","2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
