"customer_id","client","route_ids","scheduled_pickup_days","days_at_or_below_100","percent_days_at_or_below_100","total_parcels_created","average_parcels_per_pickup_day","max_parcels_in_one_day","total_shipments_created","average_cubic_volume","volume_measured_parcels","average_weight","weight_measured_parcels","first_pickup_day","last_pickup_day"
"112008","BUROPRO CITATION ST HYACINTHE","50012","9","9","100","0","0","0","0","1979.57","11","22.95","11","7/28/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303523","NOVENTRA INDUSTRIES","50027","9","9","100","0","0","0","0","2486.96","174","6.54","174","7/28/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"154786","PRO PNEUS DEMARTIGNY INC","50017","22","22","100","0","0","0","0",,,,,"7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303538","SHIPTO 2","50002","22","22","100","0","0","0","0",,,,,"7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303003","SIMONS PICKUP ST-BRUNO","50012","22","22","100","0","0","0","0",,,,,"7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303041","SINOPÉ","50010","5","5","100","0","0","0","0",,"0","1","1","7/28/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303598","DIFFUSION DIMEDIA INC. - SNR","50014","22","22","100","2","0.09","1","2","226.3","2","6.5","2","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"163000","PROMOTION DU LIVRE SDM INC","50002","22","22","100","1","0.05","1","1",,"0","2","1","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303322","J.E. MONDOU MASCOUCHE","50000 / 50004 / 50015 / 50004 / 50024","22","22","100","12","0.55","3","12","1966.27","12","26.65","12","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"111444","LES EDITIONS C.E.C INC (NAT_FLEX )","50011","22","22","100","15","0.68","3","15","344.96","15","5.27","15","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303299","TRUDEAU CORPORATION INTERNATIONAL INC","50027","4","4","100","16","4","6","14","4469.86","113","28.48","119","7/31/2026 12:00:00 AM","8/21/2026 12:00:00 AM"
"107821","BROWNING CANADA SPORTS LTEE","50016","22","22","100","22","1","7","22","1590.31","22","13.04","22","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"101680","CAMEMAT INC.","50012","9","9","100","23","2.56","7","13","2459.49","23","19.73","23","7/28/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"130400","ENTREPRISES HAMELIN","50013","8","8","100","24","3","7","11","3374.24","25","27.21","30","7/29/2026 12:00:00 AM","8/21/2026 12:00:00 AM"
"303201","FAMILYCROPS","50001","22","22","100","38","1.73","8","31","1452.84","33","17.84","38","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"302189","LE JEAN BLEU INC","50018","22","22","100","38","1.73","9","38","551.85","37","2.91","38","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"159947","PRODUITS SANITAIRES ROYAL NET INC.","50002","22","22","100","182","8.27","18","135","2166.93","174","25.88","182","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"124547","FABRAPLY INC.","50018","22","22","100","149","6.77","20","61","1782.41","144","30.74","149","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"302339","FABRICVILLE","50007 / 50014","22","22","100","206","9.36","20","203","2191.26","200","10.66","206","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"302184","NORKA LIVING","50016","22","22","100","188","8.55","21","149","11808.33","219","22.17","240","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"301566","PROMOTION RODEL","50013","22","22","100","190","8.64","25","120","1360.89","183","18","190","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"110997","CARDINAL COURRIERS LTEE","50002","22","22","100","313","14.23","30","230","2648.39","308","21.96","313","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"102570","SUPPLEMENTS AROMATIK INC.","50013","22","22","100","307","13.95","31","119","1621.37","226","22.49","307","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"301229","COMPASS GROUP CANADA/MA CAFÉINE","50001","22","22","100","304","13.82","32","257","1096.46","299","13.32","304","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"301238","EVOLUTION","50002","22","22","100","233","10.59","32","93","1226.39","227","44.53","233","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"109105","CANAROPA (1954) INC.","50018","22","22","100","422","19.18","33","221","1854.24","414","25.78","422","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"113333","COMMONWEALTH PLYWOOD (BOUCH)","50002 / 50004","22","22","100","319","14.5","34","257","5316.22","303","15.68","319","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"131875","HRS GLOBAL (9266-1677 QC INC)","50018","22","22","100","201","9.14","35","90","5802.77","187","30.57","201","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"107820","BROWNING CANADA SPORTS LTEE ( AAF )","50016","22","22","100","144","6.55","36","144","2865.24","141","21.88","144","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"156202","PROLOGUE (RETOURS)","50024","22","22","100","320","14.55","36","134","2184.39","264","25.18","310","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"112122","CHAUSSURES M&M FOOTWEAR","50016","22","22","100","206","9.36","37","34","6209.69","186","41.95","206","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303280","BOUCLAIR 24 HEURES","50019","22","22","100","284","12.91","39","147","6846.08","287","23.95","288","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"101439","ACTION O&P INC","50010","22","22","100","371","16.86","40","211","5022.98","361","16.38","371","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"301166","BBQ QUÉBEC LONGUEUIL (B2C)","50013","22","22","100","305","13.86","41","286","1823.64","456","8.63","427","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"155787","DISTRIBUTION PRO EXCELLENCE-87","50012","22","22","100","107","4.86","44","40","3566.71","100","17.75","107","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"120468","DOMINION BLUELINE","50002","22","22","100","328","14.91","47","219","1321.11","325","16.53","328","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"301984","CHANTAL LACROIX B2C","50010","22","22","100","278","12.64","48","276","1536.98","273","7.37","278","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"302958","FRANKLIN EMPIRE","50016","22","22","100","589","26.77","49","407","1057.93","547","8.22","589","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303547","SPI HEALTH & SAFETY","50024","22","22","100","429","19.5","49","286","2926.15","419","14.04","429","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"301226","GRANDWEST ENTERPRISES DISTAM (EASTERN DIVISION)","50013","22","22","100","703","31.95","51","463","2991.31","315","29.92","703","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"166045","EAB TOOL COMPANY","50029","22","22","100","779","35.41","54","421","1157.82","753","20.8","779","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"121340","ECOLOPHARM INC","50010","4","4","100","150","37.5","55","54","3039.09","139","12.7","150","7/30/2026 12:00:00 AM","8/20/2026 12:00:00 AM"
"151185","BAYARD PRESSE CANADA INC ( ADELF )","50014 / 50027","22","22","100","332","15.09","56","153","1266.11","274","20.87","332","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"131085","HIBBERT INTERNATIONAL INC.","50011","22","22","100","450","20.45","56","69","4210.41","438","19.84","450","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"105491","BLC INT'L INC ( LE GROUPE )","50001","22","22","100","540","24.55","60","179","1700.39","531","14.15","538","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"125007","DATA COMMUNICATION","50029","22","22","100","479","21.77","61","242","1406.76","449","28.25","479","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"145496","MATCO PACKAGING INC","50016","22","22","100","518","23.55","62","156","1506.44","510","18.02","518","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"101472","MESSAGERIES A.D.P. INC. (RETOURS)","50013","22","22","100","552","25.09","64","112","1806.85","498","25.28","549","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303629","AUTO COUNTRY MONTRÉAL","50011","22","22","100","411","18.68","65","114","8736.03","230","55.51","430","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"163860","DISTRIBUTION SIGNATURE INC","50012","18","18","100","451","25.06","65","112","1933.64","411","19.69","451","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
