"ID Client";"Nom Client";"Route";"Jour";"Pickup début";"Pickup fin";"Note";"Latitude";"Longitude";"Zone"
"114309";"DANESCO INC";"50019";"Lundi";"";"14h30";"Fermeture 16h00";"45.44373";"-73.87798";"Ouest de DDO et Pointe-Claire"
"114309";"DANESCO INC";"50019";"Mardi";"";"14h30";"Fermeture 16h00";"45.44373";"-73.87798";"Ouest de DDO et Pointe-Claire"
"114309";"DANESCO INC";"50019";"Mercredi";"";"14h30";"Fermeture 16h00";"45.44373";"-73.87798";"Ouest de DDO et Pointe-Claire"
"114309";"DANESCO INC";"50019";"Jeudi";"";"14h30";"Fermeture 16h00";"45.44373";"-73.87798";"Ouest de DDO et Pointe-Claire"
"114309";"DANESCO INC";"50019";"Vendredi";"";"14h30";"Fermeture 16h00";"45.44373";"-73.87798";"Ouest de DDO et Pointe-Claire"
"303220";"L'EMBALLAGE TOUT 3PL PIVAL STE-ANNE DE BELLEVUE";"50019";"Lundi";"0h";"14h";"Ferme 14h40";"45.43298";"-73.92309";"Ouest de DDO et Pointe-Claire"
"303220";"L'EMBALLAGE TOUT 3PL PIVAL STE-ANNE DE BELLEVUE";"50019";"Mardi";"0h";"14h";"Ferme 14h40";"45.43298";"-73.92309";"Ouest de DDO et Pointe-Claire"
"303220";"L'EMBALLAGE TOUT 3PL PIVAL STE-ANNE DE BELLEVUE";"50019";"Mercredi";"0h";"14h";"Ferme 14h40";"45.43298";"-73.92309";"Ouest de DDO et Pointe-Claire"
"303220";"L'EMBALLAGE TOUT 3PL PIVAL STE-ANNE DE BELLEVUE";"50019";"Jeudi";"0h";"14h";"Ferme 14h40";"45.43298";"-73.92309";"Ouest de DDO et Pointe-Claire"
"303220";"L'EMBALLAGE TOUT 3PL PIVAL STE-ANNE DE BELLEVUE";"50019";"Vendredi";"0h";"14h";"Ferme 14h40";"45.43298";"-73.92309";"Ouest de DDO et Pointe-Claire"
"151463";"NUTRAMERICA";"50130";"Lundi";"0h";"15h";"";"45.44515";"-73.8751";"Ouest de DDO et Pointe-Claire"
"151463";"NUTRAMERICA";"50130";"Mardi";"0h";"15h";"";"45.44515";"-73.8751";"Ouest de DDO et Pointe-Claire"
"151463";"NUTRAMERICA";"50130";"Mercredi";"0h";"15h";"";"45.44515";"-73.8751";"Ouest de DDO et Pointe-Claire"
"151463";"NUTRAMERICA";"50130";"Jeudi";"0h";"15h";"";"45.44515";"-73.8751";"Ouest de DDO et Pointe-Claire"
"151463";"NUTRAMERICA";"50130";"Vendredi";"0h";"15h";"";"45.44515";"-73.8751";"Ouest de DDO et Pointe-Claire"
"155100";"PRIME FOCUS ENDOSCOPY";"50130";"Lundi";"0h";"15h";"";"45.44515";"-73.8751";"Ouest de DDO et Pointe-Claire"
"155100";"PRIME FOCUS ENDOSCOPY";"50130";"Mardi";"0h";"15h";"";"45.44515";"-73.8751";"Ouest de DDO et Pointe-Claire"
"155100";"PRIME FOCUS ENDOSCOPY";"50130";"Mercredi";"0h";"15h";"";"45.44515";"-73.8751";"Ouest de DDO et Pointe-Claire"
"155100";"PRIME FOCUS ENDOSCOPY";"50130";"Jeudi";"0h";"15h";"";"45.44515";"-73.8751";"Ouest de DDO et Pointe-Claire"
"155100";"PRIME FOCUS ENDOSCOPY";"50130";"Vendredi";"0h";"15h";"";"45.44515";"-73.8751";"Ouest de DDO et Pointe-Claire"
"165776";"TOMRA CANADA INC";"50019";"Lundi";"15h";"13h45";"";"45.41847";"-73.92358";"Ouest de DDO et Pointe-Claire"
"165776";"TOMRA CANADA INC";"50019";"Mardi";"15h";"13h45";"";"45.41847";"-73.92358";"Ouest de DDO et Pointe-Claire"
"165776";"TOMRA CANADA INC";"50019";"Mercredi";"15h";"13h45";"";"45.41847";"-73.92358";"Ouest de DDO et Pointe-Claire"
"165776";"TOMRA CANADA INC";"50019";"Jeudi";"15h";"13h45";"";"45.41847";"-73.92358";"Ouest de DDO et Pointe-Claire"
"165776";"TOMRA CANADA INC";"50019";"Vendredi";"15h";"13h45";"";"45.41847";"-73.92358";"Ouest de DDO et Pointe-Claire"
"302041";"BOUCLAIR";"50008";"Lundi";"";"12h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"302041";"BOUCLAIR";"50008";"Mardi";"";"12h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"302041";"BOUCLAIR";"50008";"Mercredi";"";"12h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"302041";"BOUCLAIR";"50008";"Jeudi";"";"12h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"302041";"BOUCLAIR";"50008";"Vendredi";"";"12h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"302041";"BOUCLAIR";"50019";"Lundi";"0h";"16h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"302041";"BOUCLAIR";"50019";"Mardi";"0h";"16h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"302041";"BOUCLAIR";"50019";"Mercredi";"0h";"16h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"302041";"BOUCLAIR";"50019";"Jeudi";"0h";"16h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"302041";"BOUCLAIR";"50019";"Vendredi";"0h";"16h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"136850";"J.L. INC.";"50130";"Lundi";"";"14h";"";"45.4849";"-73.79003";"Pointe-Claire et à l’ouest"
"136850";"J.L. INC.";"50130";"Mardi";"";"14h";"";"45.4849";"-73.79003";"Pointe-Claire et à l’ouest"
"136850";"J.L. INC.";"50130";"Mercredi";"";"14h";"";"45.4849";"-73.79003";"Pointe-Claire et à l’ouest"
"136850";"J.L. INC.";"50130";"Jeudi";"";"14h";"";"45.4849";"-73.79003";"Pointe-Claire et à l’ouest"
"136850";"J.L. INC.";"50130";"Vendredi";"";"14h";"";"45.4849";"-73.79003";"Pointe-Claire et à l’ouest"
"302180";"LEADER AUTO RESSOURCE";"50019";"Lundi";"0h";"16h";"";"45.47806";"-73.7984";"Pointe-Claire et à l’ouest"
"302180";"LEADER AUTO RESSOURCE";"50019";"Mardi";"0h";"16h";"";"45.47806";"-73.7984";"Pointe-Claire et à l’ouest"
"302180";"LEADER AUTO RESSOURCE";"50019";"Mercredi";"0h";"16h";"";"45.47806";"-73.7984";"Pointe-Claire et à l’ouest"
"302180";"LEADER AUTO RESSOURCE";"50019";"Jeudi";"0h";"16h";"";"45.47806";"-73.7984";"Pointe-Claire et à l’ouest"
"302180";"LEADER AUTO RESSOURCE";"50019";"Vendredi";"";"15h30";"";"45.47806";"-73.7984";"Pointe-Claire et à l’ouest"
"302448";"ALTITUDE SPORTS";"50016";"Lundi";"0h";"17h15";"";"45.47878";"-73.76598";"Pointe-Claire et à l’ouest"
"302448";"ALTITUDE SPORTS";"50016";"Mardi";"0h";"17h15";"";"45.47878";"-73.76598";"Pointe-Claire et à l’ouest"
"302448";"ALTITUDE SPORTS";"50016";"Mercredi";"0h";"17h15";"";"45.47878";"-73.76598";"Pointe-Claire et à l’ouest"
"302448";"ALTITUDE SPORTS";"50016";"Jeudi";"0h";"17h15";"";"45.47878";"-73.76598";"Pointe-Claire et à l’ouest"
"302448";"ALTITUDE SPORTS";"50016";"Vendredi";"0h";"16h30";"";"45.47878";"-73.76598";"Pointe-Claire et à l’ouest"
"303280";"BOUCLAIR 24 HEURES";"50019";"Lundi";"0h";"16h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"303280";"BOUCLAIR 24 HEURES";"50019";"Mardi";"0h";"16h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"303280";"BOUCLAIR 24 HEURES";"50019";"Mercredi";"0h";"16h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"303280";"BOUCLAIR 24 HEURES";"50019";"Jeudi";"0h";"16h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"303280";"BOUCLAIR 24 HEURES";"50019";"Vendredi";"0h";"16h";"";"45.45838";"-73.83106";"Pointe-Claire et à l’ouest"
"302525";"CAMBIUM DISTRIBUTION";"50019";"Lundi";"0h";"16h45";"";"45.48624";"-73.77926";"Pointe-Claire et à l’ouest"
"302525";"CAMBIUM DISTRIBUTION";"50019";"Mardi";"0h";"16h45";"";"45.48624";"-73.77926";"Pointe-Claire et à l’ouest"
"302525";"CAMBIUM DISTRIBUTION";"50019";"Mercredi";"0h";"16h45";"";"45.48624";"-73.77926";"Pointe-Claire et à l’ouest"
"302525";"CAMBIUM DISTRIBUTION";"50019";"Jeudi";"0h";"16h45";"";"45.48624";"-73.77926";"Pointe-Claire et à l’ouest"
"302525";"CAMBIUM DISTRIBUTION";"50019";"Vendredi";"0h";"16h45";"";"45.48624";"-73.77926";"Pointe-Claire et à l’ouest"
"302606";"LEVITON";"55610";"Lundi";"";"15h";"15:00";"45.46405";"-73.81242";"Pointe-Claire et à l’ouest"
"302606";"LEVITON";"55610";"Mardi";"";"15h";"15:00";"45.46405";"-73.81242";"Pointe-Claire et à l’ouest"
"302606";"LEVITON";"55610";"Mercredi";"";"15h";"15:00";"45.46405";"-73.81242";"Pointe-Claire et à l’ouest"
"302606";"LEVITON";"55610";"Jeudi";"";"15h";"15:00";"45.46405";"-73.81242";"Pointe-Claire et à l’ouest"
"302606";"LEVITON";"55610";"Vendredi";"";"15h";"15:00";"45.46405";"-73.81242";"Pointe-Claire et à l’ouest"
"302874";"REPAS WECOOK (MEALKIT)";"55610";"Lundi";"0h";"17h";"";"45.47911";"-73.77688";"Pointe-Claire et à l’ouest"
"302874";"REPAS WECOOK (MEALKIT)";"55610";"Mardi";"0h";"17h";"";"45.47911";"-73.77688";"Pointe-Claire et à l’ouest"
"302874";"REPAS WECOOK (MEALKIT)";"55610";"Mercredi";"0h";"17h";"";"45.47911";"-73.77688";"Pointe-Claire et à l’ouest"
"302874";"REPAS WECOOK (MEALKIT)";"55610";"Jeudi";"0h";"17h";"";"45.47911";"-73.77688";"Pointe-Claire et à l’ouest"
"302874";"REPAS WECOOK (MEALKIT)";"55610";"Dimanche";"0h";"17h";"";"45.47911";"-73.77688";"Pointe-Claire et à l’ouest"
"303005";"SIMONS PICKUP POINTE CLAIRE";"55609";"Lundi";"0h";"14h15";"";"45.46236";"-73.82993";"Pointe-Claire et à l’ouest"
"303005";"SIMONS PICKUP POINTE CLAIRE";"55609";"Mardi";"0h";"14h15";"";"45.46236";"-73.82993";"Pointe-Claire et à l’ouest"
